Marca,Modelo,Condicao,Memoria,Bateria,Preco,TempoConta,Vendas,Golpe
Apple,iPhone 8 Plus,Novo,32,Perfeita (95% ate 100%),1391.92,298,9,Sim
Motorola,Motorola Edge 30,Usado - Excelente,256,Ok (60% ate 79%),818.53,227,10,Nao
Motorola,Motorola Edge 30,Novo,256,Boa (80% ate 94%),858.56,184,17,Nao
Samsung,Galaxy S20,Usado - Bom,64,Ok (60% ate 79%),632.52,321,15,Nao
Motorola,Motorola Edge 30,Usado - Bom,128,Perfeita (95% ate 100%),532.5,170,10,Nao
Apple,iPhone 15,Usado - Excelente,128,Perfeita (95% ate 100%),1378.9,117,18,Nao
Motorola,Motorola G7,Recondicionado,64,Ok (60% ate 79%),1386.95,311,10,Nao
Motorola,Motorola Edge 30,Usado - Bom,128,Perfeita (95% ate 100%),751.98,53,17,Nao
Motorola,Motorola G7,Com defeito,128,Perfeita (95% ate 100%),1035.47,175,5,Nao
Motorola,Motorola G7,Com defeito,32,Ok (60% ate 79%),1104.87,115,19,Nao
Motorola,Motorola Edge 30,Com defeito,128,Ok (60% ate 79%),1079.46,202,10,Nao
Motorola,Motorola G7,Com defeito,64,Ruim (40% ate 59%),705.95,236,18,Nao
Apple,iPhone 10,Usado - Excelente,256,Boa (80% ate 94%),764.59,50,13,Nao
Motorola,Motorola Edge 30,Usado - Excelente,128,Boa (80% ate 94%),559.1,153,4,Nao
Motorola,Motorola G7,Usado - Excelente,128,Ruim (40% ate 59%),790.38,130,7,Nao
Apple,iPhone 12,Com defeito,128,Ruim (40% ate 59%),1460.65,242,5,Nao
Apple,iPhone 15,Usado - Bom,32,Boa (80% ate 94%),1248.77,117,10,Sim
Apple,iPhone 15,Usado - Bom,32,Perfeita (95% ate 100%),892.08,53,3,Sim
Samsung,Galaxy A51,Com defeito,32,Perfeita (95% ate 100%),1467.95,315,19,Nao
Apple,iPhone 8 Plus,Novo,128,Perfeita (95% ate 100%),1182.94,251,12,Nao
Apple,iPhone XR,Recondicionado,32,Muito Ruim (abaixo de 39%),816.53,95,19,Sim
Samsung,Galaxy S22,Usado - Excelente,256,Muito Ruim (abaixo de 39%),1409.0,59,16,Nao
Motorola,Motorola G7,Novo,256,Perfeita (95% ate 100%),1311.95,242,9,Nao
Apple,iPhone XR,Usado - Excelente,256,Ruim (40% ate 59%),310.17,62,18,Nao
Motorola,Motorola G7,Novo,256,Ruim (40% ate 59%),862.26,186,15,Nao
Samsung,Galaxy A71,Usado - Excelente,256,Boa (80% ate 94%),1358.37,211,4,Nao
Apple,iPhone XR,Novo,64,Ruim (40% ate 59%),694.7,286,6,Sim
Apple,iPhone 12,Usado - Excelente,64,Ok (60% ate 79%),643.86,364,14,Sim
Apple,iPhone 10,Recondicionado,64,Ok (60% ate 79%),749.03,249,16,Sim
Apple,iPhone 10,Novo,64,Muito Ruim (abaixo de 39%),555.19,202,19,Sim
Apple,iPhone 10,Usado - Bom,64,Ok (60% ate 79%),1283.01,225,6,Sim
Motorola,Motorola Edge 30,Usado - Excelente,128,Muito Ruim (abaixo de 39%),1178.71,233,4,Nao
Motorola,Motorola G7,Recondicionado,256,Ok (60% ate 79%),1003.98,3,12,Sim
Motorola,Motorola G7,Usado - Excelente,128,Boa (80% ate 94%),1498.82,130,13,Nao
Motorola,Motorola G7,Recondicionado,64,Ruim (40% ate 59%),1461.65,346,11,Nao
Motorola,Motorola G7,Com defeito,64,Ruim (40% ate 59%),1170.63,175,19,Nao
Samsung,Galaxy S20,Novo,32,Ruim (40% ate 59%),1285.45,283,2,Nao
Apple,iPhone 12,Usado - Excelente,128,Muito Ruim (abaixo de 39%),310.17,175,13,Nao
Motorola,Motorola Edge 30,Usado - Excelente,32,Ok (60% ate 79%),315.92,290,19,Nao
Motorola,Motorola Edge 30,Usado - Bom,64,Boa (80% ate 94%),1263.44,281,1,Nao
Samsung,Galaxy S20,Novo,32,Muito Ruim (abaixo de 39%),332.2,247,15,Nao
Motorola,Motorola G7,Novo,256,Ruim (40% ate 59%),670.04,353,5,Nao
Samsung,Galaxy S20,Recondicionado,64,Muito Ruim (abaixo de 39%),524.51,298,6,Nao
Motorola,Motorola Edge 30,Novo,32,Perfeita (95% ate 100%),996.3,294,4,Nao
Motorola,Motorola Edge 30,Novo,128,Boa (80% ate 94%),1117.94,246,10,Nao
Motorola,Motorola Edge 30,Recondicionado,64,Boa (80% ate 94%),587.88,137,10,Nao
Samsung,Galaxy A71,Usado - Bom,32,Ruim (40% ate 59%),808.22,46,16,Nao
Apple,iPhone 11,Recondicionado,64,Ok (60% ate 79%),1040.03,193,15,Sim
Samsung,Galaxy S22,Com defeito,256,Boa (80% ate 94%),305.22,143,7,Nao
Samsung,Galaxy S22,Recondicionado,64,Ok (60% ate 79%),719.05,264,1,Nao
Samsung,Galaxy S22,Com defeito,128,Muito Ruim (abaixo de 39%),1034.97,272,8,Nao
Motorola,Motorola G7,Novo,64,Perfeita (95% ate 100%),1274.21,143,13,Nao
Samsung,Galaxy S20,Recondicionado,256,Muito Ruim (abaixo de 39%),1033.3,247,6,Nao
Motorola,Motorola Edge 30,Recondicionado,32,Ruim (40% ate 59%),657.83,288,10,Nao
Apple,iPhone 12,Usado - Bom,128,Muito Ruim (abaixo de 39%),429.58,153,3,Nao
Motorola,Motorola G7,Com defeito,32,Muito Ruim (abaixo de 39%),1438.33,175,16,Nao
Samsung,Galaxy S21,Usado - Bom,64,Perfeita (95% ate 100%),915.23,153,15,Nao
Motorola,Motorola G7,Novo,64,Boa (80% ate 94%),1311.95,301,1,Nao
Samsung,Galaxy S20,Com defeito,128,Perfeita (95% ate 100%),1333.02,283,14,Nao
Motorola,Motorola Edge 30,Usado - Bom,128,Ok (60% ate 79%),1182.57,68,3,Nao
Samsung,Galaxy S21,Usado - Excelente,64,Boa (80% ate 94%),592.97,33,13,Nao
Apple,iPhone 14,Recondicionado,64,Muito Ruim (abaixo de 39%),1127.42,86,6,Sim
Apple,iPhone 8 Plus,Recondicionado,32,Ok (60% ate 79%),1283.01,283,3,Sim
Motorola,Motorola Edge 30,Usado - Bom,256,Boa (80% ate 94%),587.88,346,2,Nao
Motorola,Motorola Edge 30,Com defeito,128,Boa (80% ate 94%),1380.27,17,7,Nao
Motorola,Motorola Edge 30,Com defeito,256,Muito Ruim (abaixo de 39%),587.88,142,14,Nao
Motorola,Motorola Edge 30,Novo,128,Perfeita (95% ate 100%),1311.95,279,2,Nao
Apple,iPhone 14,Usado - Excelente,32,Boa (80% ate 94%),315.28,163,1,Sim
Apple,iPhone XR,Usado - Excelente,64,Boa (80% ate 94%),1127.42,256,16,Sim
Motorola,Motorola G7,Usado - Excelente,256,Boa (80% ate 94%),341.52,143,3,Nao
Samsung,Galaxy S21,Novo,32,Boa (80% ate 94%),460.21,121,7,Nao
Motorola,Motorola G7,Novo,256,Ruim (40% ate 59%),1199.35,217,1,Nao
Motorola,Motorola G7,Recondicionado,256,Perfeita (95% ate 100%),808.65,129,5,Nao
Samsung,Galaxy A71,Com defeito,128,Ruim (40% ate 59%),1417.6,117,3,Nao
Apple,iPhone 8 Plus,Usado - Excelente,32,Perfeita (95% ate 100%),476.07,101,6,Sim
Motorola,Motorola G7,Usado - Excelente,64,Boa (80% ate 94%),303.67,90,11,Nao
Motorola,Motorola Edge 30,Com defeito,256,Boa (80% ate 94%),848.13,301,8,Nao
Motorola,Motorola Edge 30,Recondicionado,32,Perfeita (95% ate 100%),1401.03,175,14,Nao
Samsung,Galaxy A51,Novo,32,Ok (60% ate 79%),397.77,87,2,Nao
Apple,iPhone 15,Novo,32,Ruim (40% ate 59%),752.02,81,1,Sim
Samsung,Galaxy S22,Com defeito,128,Perfeita (95% ate 100%),924.53,281,7,Nao
Motorola,Motorola G7,Usado - Bom,128,Ruim (40% ate 59%),727.8,184,10,Nao
Samsung,Galaxy A51,Recondicionado,256,Perfeita (95% ate 100%),1033.3,301,15,Nao
Motorola,Motorola Edge 30,Novo,256,Perfeita (95% ate 100%),574.76,234,20,Nao
Samsung,Galaxy S20,Com defeito,64,Ok (60% ate 79%),551.99,130,4,Nao
Motorola,Motorola Edge 30,Usado - Bom,256,Muito Ruim (abaixo de 39%),667.98,242,18,Nao
Apple,iPhone 12,Recondicionado,64,Ruim (40% ate 59%),735.13,301,12,Sim
Motorola,Motorola Edge 30,Recondicionado,256,Muito Ruim (abaixo de 39%),1332.67,221,6,Nao
Apple,iPhone 12,Usado - Bom,256,Ok (60% ate 79%),1321.42,352,15,Nao
Apple,iPhone 10,Recondicionado,64,Ok (60% ate 79%),385.14,251,5,Sim
Motorola,Motorola G7,Usado - Excelente,32,Ruim (40% ate 59%),636.04,301,20,Nao
Samsung,Galaxy S21,Usado - Bom,32,Boa (80% ate 94%),1285.45,193,17,Nao
Samsung,Galaxy S20,Recondicionado,256,Boa (80% ate 94%),1089.81,24,18,Nao
Samsung,Galaxy A71,Usado - Excelente,128,Muito Ruim (abaixo de 39%),965.06,283,19,Nao
Apple,iPhone 14,Com defeito,256,Perfeita (95% ate 100%),556.91,17,16,Nao
Motorola,Motorola Edge 30,Usado - Bom,128,Perfeita (95% ate 100%),1427.55,124,18,Nao
Apple,iPhone 11,Usado - Bom,64,Ok (60% ate 79%),1217.16,184,2,Sim
Apple,iPhone 15,Usado - Bom,256,Ok (60% ate 79%),1222.35,327,3,Nao
Apple,iPhone 11,Usado - Bom,256,Boa (80% ate 94%),718.48,222,6,Nao
Apple,iPhone 10,Usado - Bom,32,Ruim (40% ate 59%),735.13,255,17,Sim
Samsung,Galaxy S21,Novo,256,Muito Ruim (abaixo de 39%),975.29,317,12,Nao
Apple,iPhone 15,Usado - Bom,32,Ok (60% ate 79%),920.37,117,17,Sim
Motorola,Motorola Edge 30,Recondicionado,32,Muito Ruim (abaixo de 39%),1179.53,264,1,Nao
Apple,iPhone 11,Usado - Bom,256,Ruim (40% ate 59%),1264.6,279,1,Nao
Apple,iPhone 13,Novo,256,Perfeita (95% ate 100%),470.17,327,1,Nao
Apple,iPhone 10,Com defeito,32,Boa (80% ate 94%),643.86,320,20,Sim
Apple,iPhone 14,Com defeito,32,Ruim (40% ate 59%),900.96,317,19,Sim
Apple,iPhone 13,Recondicionado,32,Ok (60% ate 79%),471.44,230,3,Sim
Motorola,Motorola Edge 30,Usado - Excelente,128,Perfeita (95% ate 100%),315.92,298,5,Nao
Samsung,Galaxy A51,Com defeito,128,Perfeita (95% ate 100%),305.3,217,15,Nao
Motorola,Motorola Edge 30,Recondicionado,256,Perfeita (95% ate 100%),495.04,265,5,Nao
Apple,iPhone 14,Novo,256,Perfeita (95% ate 100%),339.84,193,1,Nao
Apple,iPhone 13,Usado - Excelente,32,Boa (80% ate 94%),1400.68,211,10,Sim
Motorola,Motorola Edge 30,Usado - Bom,32,Ok (60% ate 79%),955.37,56,19,Nao
Samsung,Galaxy S20,Usado - Bom,128,Ruim (40% ate 59%),1388.87,233,13,Nao
Apple,iPhone 8 Plus,Usado - Bom,32,Muito Ruim (abaixo de 39%),1248.88,184,11,Sim
Motorola,Motorola G7,Recondicionado,128,Boa (80% ate 94%),757.09,3,5,Sim
Apple,iPhone 11,Novo,256,Ok (60% ate 79%),1425.94,263,10,Nao
Apple,iPhone 11,Usado - Excelente,32,Ok (60% ate 79%),752.02,227,8,Sim
Motorola,Motorola Edge 30,Com defeito,128,Boa (80% ate 94%),1368.32,193,18,Nao
Samsung,Galaxy S22,Novo,256,Ruim (40% ate 59%),716.58,33,8,Nao
Motorola,Motorola Edge 30,Usado - Bom,64,Ruim (40% ate 59%),313.76,265,1,Nao
Samsung,Galaxy A51,Novo,32,Ok (60% ate 79%),1196.2,363,16,Nao
Motorola,Motorola G7,Com defeito,32,Boa (80% ate 94%),1498.82,79,20,Nao
Samsung,Galaxy S21,Recondicionado,128,Ok (60% ate 79%),387.51,354,1,Nao
Apple,iPhone 11,Usado - Excelente,32,Ok (60% ate 79%),450.95,101,18,Sim
Apple,iPhone 8 Plus,Usado - Bom,128,Boa (80% ate 94%),1034.74,141,12,Nao
Motorola,Motorola G7,Usado - Bom,32,Perfeita (95% ate 100%),654.5,112,3,Nao
Motorola,Motorola G7,Recondicionado,32,Ruim (40% ate 59%),1246.47,323,15,Nao
Samsung,Galaxy A71,Recondicionado,128,Ruim (40% ate 59%),968.76,238,11,Nao
Samsung,Galaxy A71,Novo,128,Boa (80% ate 94%),620.5,148,1,Nao
Apple,iPhone 15,Com defeito,32,Ruim (40% ate 59%),1080.44,169,17,Sim
Samsung,Galaxy A71,Usado - Bom,128,Perfeita (95% ate 100%),938.8,264,20,Nao
Samsung,Galaxy S22,Recondicionado,128,Muito Ruim (abaixo de 39%),460.21,255,5,Nao
Apple,iPhone 10,Com defeito,64,Perfeita (95% ate 100%),776.93,284,14,Sim
Samsung,Galaxy S22,Usado - Excelente,64,Perfeita (95% ate 100%),1256.22,134,4,Nao
Samsung,Galaxy S20,Recondicionado,128,Ruim (40% ate 59%),827.57,97,15,Nao
Motorola,Motorola Edge 30,Novo,32,Muito Ruim (abaixo de 39%),341.52,317,1,Nao
Apple,iPhone XR,Com defeito,256,Muito Ruim (abaixo de 39%),764.59,317,3,Nao
Samsung,Galaxy A71,Recondicionado,64,Muito Ruim (abaixo de 39%),305.22,79,7,Nao
Apple,iPhone XR,Usado - Excelente,64,Ok (60% ate 79%),1445.99,184,12,Sim
Motorola,Motorola G7,Com defeito,128,Muito Ruim (abaixo de 39%),1178.71,59,12,Nao
Motorola,Motorola G7,Recondicionado,128,Boa (80% ate 94%),914.94,353,3,Nao
Samsung,Galaxy S21,Com defeito,64,Ok (60% ate 79%),1072.42,344,7,Nao
Apple,iPhone 11,Novo,256,Ok (60% ate 79%),859.19,112,19,Nao
Samsung,Galaxy S20,Novo,32,Muito Ruim (abaixo de 39%),595.01,255,19,Nao
Apple,iPhone 13,Novo,64,Boa (80% ate 94%),1024.38,110,6,Sim
Samsung,Galaxy S22,Recondicionado,32,Perfeita (95% ate 100%),1447.1,5,7,Sim
Samsung,Galaxy S20,Usado - Excelente,128,Perfeita (95% ate 100%),742.91,159,19,Nao
Motorola,Motorola Edge 30,Usado - Excelente,256,Ok (60% ate 79%),1455.01,65,16,Nao
Motorola,Motorola G7,Usado - Excelente,128,Muito Ruim (abaixo de 39%),631.9,352,7,Nao
Samsung,Galaxy S20,Usado - Excelente,32,Perfeita (95% ate 100%),1042.02,112,9,Nao
Samsung,Galaxy S22,Recondicionado,128,Boa (80% ate 94%),631.47,175,17,Nao
Apple,iPhone 8 Plus,Usado - Bom,128,Ok (60% ate 79%),673.31,256,2,Nao
Motorola,Motorola G7,Usado - Excelente,64,Boa (80% ate 94%),789.93,363,19,Nao
Apple,iPhone 12,Usado - Bom,64,Perfeita (95% ate 100%),1124.18,134,16,Sim
Apple,iPhone 13,Com defeito,32,Muito Ruim (abaixo de 39%),1106.16,169,19,Sim
Apple,iPhone 12,Usado - Excelente,256,Perfeita (95% ate 100%),1230.83,327,16,Nao
Samsung,Galaxy A71,Novo,256,Ruim (40% ate 59%),720.78,242,8,Nao
Apple,iPhone 15,Usado - Excelente,256,Muito Ruim (abaixo de 39%),460.49,363,2,Nao
Apple,iPhone 8 Plus,Recondicionado,256,Ruim (40% ate 59%),726.41,174,8,Nao
Motorola,Motorola Edge 30,Usado - Bom,256,Muito Ruim (abaixo de 39%),820.34,143,8,Nao
Motorola,Motorola Edge 30,Com defeito,64,Ruim (40% ate 59%),303.67,94,19,Nao
Samsung,Galaxy S20,Novo,256,Boa (80% ate 94%),864.77,199,15,Nao
Samsung,Galaxy A71,Usado - Bom,64,Ok (60% ate 79%),692.29,236,12,Nao
Apple,iPhone 8 Plus,Recondicionado,128,Muito Ruim (abaixo de 39%),688.25,191,4,Nao
Samsung,Galaxy A71,Recondicionado,64,Ok (60% ate 79%),1405.43,143,20,Nao
Motorola,Motorola G7,Recondicionado,64,Ruim (40% ate 59%),757.09,86,5,Nao
Motorola,Motorola G7,Recondicionado,256,Boa (80% ate 94%),818.53,175,16,Nao
Samsung,Galaxy A71,Recondicionado,256,Ok (60% ate 79%),1034.97,289,19,Nao
Apple,iPhone 12,Com defeito,64,Perfeita (95% ate 100%),1040.03,265,12,Sim
Motorola,Motorola G7,Novo,64,Muito Ruim (abaixo de 39%),1214.41,221,16,Nao
Motorola,Motorola Edge 30,Usado - Excelente,128,Ok (60% ate 79%),789.24,18,9,Nao
Samsung,Galaxy S21,Com defeito,32,Muito Ruim (abaixo de 39%),1145.25,349,20,Nao
Motorola,Motorola G7,Novo,128,Boa (80% ate 94%),1087.97,320,14,Nao
Samsung,Galaxy A51,Novo,128,Ruim (40% ate 59%),739.46,132,5,Nao
Apple,iPhone 14,Novo,64,Perfeita (95% ate 100%),434.49,53,10,Sim
Motorola,Motorola Edge 30,Usado - Bom,64,Perfeita (95% ate 100%),1117.94,260,14,Nao
Samsung,Galaxy A71,Usado - Bom,32,Boa (80% ate 94%),418.49,130,2,Nao
Samsung,Galaxy S22,Novo,32,Boa (80% ate 94%),709.97,68,19,Nao
Apple,iPhone 8 Plus,Usado - Excelente,64,Muito Ruim (abaixo de 39%),598.79,50,13,Sim
Samsung,Galaxy A51,Recondicionado,64,Boa (80% ate 94%),739.46,90,15,Nao
Motorola,Motorola Edge 30,Novo,32,Muito Ruim (abaixo de 39%),454.94,295,12,Nao
Samsung,Galaxy S21,Novo,32,Boa (80% ate 94%),714.05,184,3,Nao
Apple,iPhone 8 Plus,Novo,256,Ok (60% ate 79%),866.28,202,12,Nao
Apple,iPhone 15,Recondicionado,32,Ok (60% ate 79%),816.53,97,8,Sim
Apple,iPhone 15,Usado - Bom,256,Ruim (40% ate 59%),1008.47,52,16,Nao
Samsung,Galaxy S20,Usado - Excelente,64,Perfeita (95% ate 100%),658.2,202,4,Nao
Motorola,Motorola G7,Usado - Excelente,32,Ok (60% ate 79%),974.45,233,19,Nao
Samsung,Galaxy S20,Com defeito,64,Ok (60% ate 79%),397.77,320,16,Nao
Samsung,Galaxy A51,Usado - Excelente,64,Ok (60% ate 79%),1430.42,193,17,Nao
Motorola,Motorola G7,Novo,64,Perfeita (95% ate 100%),1031.57,256,13,Nao
Apple,iPhone 14,Com defeito,64,Boa (80% ate 94%),911.98,153,5,Sim
Motorola,Motorola G7,Com defeito,256,Ok (60% ate 79%),945.14,317,15,Nao
Samsung,Galaxy S20,Com defeito,32,Ruim (40% ate 59%),1054.44,121,6,Nao
Apple,iPhone 8 Plus,Novo,256,Muito Ruim (abaixo de 39%),395.54,186,3,Nao
Motorola,Motorola G7,Com defeito,32,Boa (80% ate 94%),1085.44,364,9,Nao
Apple,iPhone XR,Usado - Bom,64,Ok (60% ate 79%),377.97,64,2,Sim
Motorola,Motorola Edge 30,Recondicionado,256,Boa (80% ate 94%),961.47,129,4,Nao
Motorola,Motorola G7,Com defeito,256,Perfeita (95% ate 100%),916.74,301,6,Nao
Samsung,Galaxy S22,Com defeito,256,Muito Ruim (abaixo de 39%),620.9,156,2,Nao
Motorola,Motorola Edge 30,Novo,128,Muito Ruim (abaixo de 39%),477.02,53,7,Nao
Motorola,Motorola Edge 30,Com defeito,32,Perfeita (95% ate 100%),1178.71,159,17,Nao
Samsung,Galaxy S22,Recondicionado,256,Muito Ruim (abaixo de 39%),311.4,175,10,Nao
Apple,iPhone 12,Recondicionado,128,Ruim (40% ate 59%),529.87,341,1,Nao
Samsung,Galaxy A71,Recondicionado,32,Ok (60% ate 79%),413.59,256,4,Nao
Apple,iPhone 8 Plus,Com defeito,64,Perfeita (95% ate 100%),750.52,272,17,Sim
Motorola,Motorola G7,Usado - Excelente,64,Muito Ruim (abaixo de 39%),1215.51,154,16,Nao
Apple,iPhone 15,Novo,32,Perfeita (95% ate 100%),1248.77,327,11,Sim
Apple,iPhone 12,Usado - Excelente,64,Perfeita (95% ate 100%),474.06,301,5,Sim
Apple,iPhone 11,Usado - Excelente,32,Boa (80% ate 94%),1222.35,222,16,Sim
Samsung,Galaxy A51,Usado - Excelente,32,Ok (60% ate 79%),968.76,59,7,Nao
Samsung,Galaxy A51,Recondicionado,256,Boa (80% ate 94%),620.5,112,1,Nao
Samsung,Galaxy A71,Usado - Excelente,64,Ok (60% ate 79%),1270.67,101,13,Nao
Samsung,Galaxy A51,Com defeito,64,Ruim (40% ate 59%),713.82,298,19,Nao
Motorola,Motorola G7,Com defeito,64,Boa (80% ate 94%),455.68,184,6,Nao
Apple,iPhone 10,Recondicionado,256,Perfeita (95% ate 100%),891.63,278,8,Nao
Samsung,Galaxy S20,Usado - Bom,256,Perfeita (95% ate 100%),745.93,79,9,Nao
Apple,iPhone 15,Usado - Excelente,32,Ruim (40% ate 59%),442.91,97,3,Sim
Motorola,Motorola Edge 30,Recondicionado,32,Ok (60% ate 79%),667.98,217,10,Nao
Motorola,Motorola Edge 30,Novo,64,Perfeita (95% ate 100%),306.85,165,16,Nao
Motorola,Motorola G7,Usado - Bom,128,Ok (60% ate 79%),1178.71,362,5,Nao
Motorola,Motorola G7,Com defeito,32,Boa (80% ate 94%),924.36,3,6,Sim
Samsung,Galaxy S21,Usado - Bom,32,Boa (80% ate 94%),955.51,323,3,Nao
Apple,iPhone 15,Recondicionado,32,Perfeita (95% ate 100%),607.04,217,3,Sim
Apple,iPhone 14,Com defeito,32,Perfeita (95% ate 100%),1248.77,3,1,Sim
Apple,iPhone 11,Usado - Excelente,32,Ruim (40% ate 59%),949.33,50,8,Sim
Apple,iPhone 8 Plus,Usado - Excelente,256,Ruim (40% ate 59%),1208.18,222,9,Nao
Samsung,Galaxy S22,Novo,128,Perfeita (95% ate 100%),1088.15,110,2,Nao
Samsung,Galaxy A51,Com defeito,32,Ok (60% ate 79%),1145.25,62,14,Nao
Motorola,Motorola G7,Recondicionado,64,Boa (80% ate 94%),1117.94,165,19,Nao
Samsung,Galaxy A71,Novo,64,Muito Ruim (abaixo de 39%),1183.18,327,3,Nao
Motorola,Motorola G7,Recondicionado,32,Muito Ruim (abaixo de 39%),315.57,159,17,Nao
Motorola,Motorola G7,Novo,64,Ok (60% ate 79%),1189.43,252,1,Nao
Motorola,Motorola Edge 30,Usado - Excelente,64,Boa (80% ate 94%),785.1,68,8,Nao
Samsung,Galaxy A71,Novo,256,Perfeita (95% ate 100%),731.84,236,6,Nao
Motorola,Motorola G7,Usado - Excelente,64,Perfeita (95% ate 100%),306.85,129,1,Nao
Apple,iPhone 12,Novo,32,Muito Ruim (abaixo de 39%),315.83,365,15,Sim
Samsung,Galaxy A51,Usado - Bom,64,Boa (80% ate 94%),1430.42,64,8,Nao
Samsung,Galaxy A71,Usado - Excelente,128,Ok (60% ate 79%),1047.41,115,9,Nao
Samsung,Galaxy A71,Com defeito,64,Ruim (40% ate 59%),321.48,115,9,Nao
Motorola,Motorola G7,Usado - Excelente,256,Perfeita (95% ate 100%),630.74,317,18,Nao
Samsung,Galaxy S21,Usado - Excelente,256,Ok (60% ate 79%),872.63,364,14,Nao
